,accuracy_score,f1_score,precision_score,recall_score,model_name,attack_name,attack_duration,eps
0,0.125,0.125,0.125,0.125,DecisionTreeClassifier,DecisionTreeAttack,0.11215710639953613,0.01381180575766721
1,0.2,0.20000000000000004,0.2,0.2,DecisionTreeClassifier,HopSkipJump,13.67924165725708,2.6960884138970635e-06
2,0.85,0.85,0.85,0.85,DecisionTreeClassifier,ZooAttack,0.7607874870300293,1.498475890377167e-06
3,0.1,0.10000000000000002,0.1,0.1,RandomForestClassifier,HopSkipJump,519.9275155067444,1.9049265922934652e-06
4,0.3375,0.3375,0.3375,0.3375,RandomForestClassifier,ZooAttack,20.66599440574646,1.5855711880360474e-06
5,0.3125,0.3125,0.3125,0.3125,XGBClassifier,HopSkipJump,176.00863337516785,1.8810954167211202e-06
6,0.4375,0.4375,0.4375,0.4375,XGBClassifier,ZooAttack,11.975241422653198,1.5106687571354377e-06
